source_id,source_name,source_type,exact_url,publisher,accessed_date,geographic_scope,fields_used,collection_method,license_or_usage,reliability_tier,freshness,known_limitations,transformation_notes
bedashing_home,Bedashing Beauty home,official_company,https://bedashingbeauty.com/,Bedashing Beauty,2026-09-08,UAE,claimed lounge count; positioning; services,manual research,website terms apply,1,current page,24 is a company claim not a branch roster,retain claim separately from extracted branch entities
bedashing_lounges,Bedashing lounges locator,official_company,https://bedashingbeauty.com/lounges/,Bedashing Beauty,2026-09-08,UAE,locator and booking link,manual research,website terms apply,1,current page,server-rendered view showed zero shops; client/booking extraction needed,do not infer closures
bedashing_who,Bedashing Who We Are,official_company,https://bedashingbeauty.com/who-we-are/,Bedashing Beauty,2026-09-08,UAE,founding and positioning,manual research,website terms apply,1,current page,marketing claims; no roster,context only
bedashing_how,Bedashing How We Do It,official_company,https://bedashingbeauty.com/how-we-do-it/,Bedashing Beauty,2026-09-08,UAE,service proposition,manual research,website terms apply,1,current page,marketing claims,context only
overture_places,Overture Places,open_geospatial,https://docs.overturemaps.org/guides/places/,Overture Maps Foundation,2026-09-08,global/UAE,POI candidates; source confidence; categories,version-pinned download,CDLA Permissive 2.0/Apache 2.0 per source,3,monthly,known duplicates junk and incomplete properties,filter and reconcile; retain release and source metadata
osm,OpenStreetMap,open_geospatial,https://www.openstreetmap.org/copyright/,OpenStreetMap Foundation,2026-09-08,global/UAE,POIs roads context,version-pinned Overpass/export,ODbL,3,community maintained,coverage/tagging varies; attribution obligations,license review before committing derivative database
openai_responses,OpenAI Responses documentation,official_technical,https://platform.openai.com/docs/quickstart/make-your-first-api-request,OpenAI,2026-09-08,global,tool-calling architecture,manual research,OpenAI terms apply,1,current docs,external credential and availability optional,server-only optional integration
mcp_spec,Model Context Protocol specification,official_technical,https://modelcontextprotocol.io/specification/2025-11-25/basic,Model Context Protocol,2026-09-08,global,tool interoperability assessment,manual research,protocol terms apply,1,versioned specification,not a reason by itself to implement MCP,defer adapter until second consumer
a2a_docs,A2A Protocol documentation,official_technical,https://a2a-protocol.org/latest/,A2A Project,2026-09-08,global,agent-to-agent assessment,manual research,Apache 2.0 documentation,1,current docs,not applicable to a single-agent analytics prototype,reject initial adoption
impeccable_readme,Impeccable README,official_technical,https://github.com/pbakaus/impeccable,pbakaus,2026-09-08,global,UI workflow planning,manual research,Apache 2.0 repository,2,current repository,requires future installation/hook approval,no install in Phase 0
